#,fecha,formato,hook_resumen,palabra_clave,likes,comentarios,guardados,compartidos,alcance,visualizaciones,guard_x1000_alcance,engagement_rate_%,promocionado,permalink
1,2026-07-22,REELS,Comenta “YO” y te envío un mensaje,YO,5,0,3,2,296,385,10.1,3.4,No,https://www.instagram.com/p/DbGtY2dyvty/
2,2026-07-23,REELS,¿COMO COMPRAR UNA ACCIÓN MINIMIZANDO EL RIESGO?,N/D,8,0,2,2,250,293,8.0,4.8,No,https://www.instagram.com/p/DbJpJoRPPf7/
3,2026-07-28,REELS,¿Sabías que una empresa puede mostrar grandes utilidades y aun así no generar ef,YO,6,3,0,1,306,392,0.0,3.3,No,https://www.instagram.com/p/DbWpfqigAXc/
4,2026-07-29,REELS,Comenta “YO” y te envío un mensaje,YO,5,4,2,1,237,311,8.4,5.1,No,https://www.instagram.com/p/DbZJi_WvFRV/
5,2026-07-31,REELS,Comenta “YO” y te envío un mensaje,YO,1,0,1,1,231,275,4.3,1.3,No,https://www.instagram.com/p/DbeMG1Lv_Kf/
6,2026-08-02,REELS,Comenta “YO” para que tengas acceso a la clase,YO,2,0,1,1,224,283,4.5,1.8,No,https://www.instagram.com/p/DbjCr4PxOOd/
7,2026-08-12,REELS,Comenta “YO” y te la envío,YO,4,0,1,1,284,341,3.5,2.1,No,https://www.instagram.com/p/Db9W892tQNV/
8,2026-08-15,REELS,Comenta “YO” y te envío la clase,YO,2,0,1,1,178,231,5.6,2.2,No,https://www.instagram.com/p/DcCl8QsNs2d/
9,2026-08-17,REELS,Comenta “CLASE” y te la envío,CLASE,2,0,1,1,150,205,6.7,2.7,No,https://www.instagram.com/p/DcJ6L2Xv_jt/
10,2026-08-17,REELS,Comenta “YO” y te escribo,YO,7,0,1,1,253,330,4.0,3.6,No,https://www.instagram.com/p/DcHwFdlNqse/
11,2026-08-20,REELS,Comenta “YO” y te escribo,YO,3,0,0,0,216,255,0.0,1.4,No,https://www.instagram.com/p/DcRz-j4v9Yv/
12,2026-08-21,REELS,Comenta YO y te envío la clase,YO,4,0,1,0,234,291,4.3,2.1,No,https://www.instagram.com/p/DcUjAdsAbGP/
13,2026-08-24,CAROUSEL,¿Sabes cuándo una empresa está cara? Comenta YO y te envío una clase donde lo ve,YO,7,1,1,1,163,381,6.1,6.1,No,https://www.instagram.com/p/Dcbi1YOkcEn/
14,2026-08-25,REELS,Tener tu dinero en el banco no es seguro. Es perderlo en silencio. Comenta *CLAS,CLASE,6,2,3,1,377,492,8.0,3.2,No,https://www.instagram.com/p/Dcekak3vX66/
15,2026-08-26,REELS,Tener 30 acciones no te protege… te esconde que no sabes cuál es buena. Comenta ,YO,7,1,3,0,204,269,14.7,5.4,No,https://www.instagram.com/p/DchKH9LOMzg/
16,2026-08-27,CAROUSEL,Tener todo tu dinero en un solo fondo del banco no es seguridad. Es fragilidad. ,N/D,2,1,0,0,98,261,0.0,3.1,No,https://www.instagram.com/p/DcjDr9WDf0A/
17,2026-08-30,REELS,Puedes ganar bien y aun así quedarte sin patrimonio. Comenta *EMPIEZO*,EMPIEZO,3,0,0,0,209,249,0.0,1.4,No,https://www.instagram.com/p/DcrZNPePl_4/
18,2026-08-31,REELS,"Invertir no es apostar, es leer una empresa: 3 preguntas antes de comprar. Comen",MÉTODO,2,0,2,0,113,132,17.7,3.5,No,https://www.instagram.com/p/Dcs-Na8xoZI/
19,2026-09-01,REELS,Te mintieron: tener 30 acciones no te protege. Comenta *POCAS*,POCAS,3,0,1,0,104,144,9.6,3.8,No,https://www.instagram.com/p/Dcvo8zbxn8T/
20,2026-09-04,REELS,¿Starbucks ($SBUX) está cara o barata? Comenta YO y te envío la clase,YO,1,0,0,0,114,145,0.0,0.9,No,https://www.instagram.com/p/Dc4gtb6xDH2/
21,2026-09-07,REELS,¿Tienes acciones que no sabrías defender en 30 segundos? Comenta ANÁLISIS,ANÁLISIS,3,1,0,0,108,144,0.0,3.7,No,https://www.instagram.com/p/Dc_9GTvPCfd/
22,2026-09-07,REELS,Mi primera inversión la elegí por un dato. Perdí. Hoy enseño criterio propio. Si,SEGUIR,6,0,0,0,211,272,0.0,2.8,No,https://www.instagram.com/p/Dc94MK2ApZy/
23,2026-09-08,CAROUSEL,Nunca compres un ETF sin entender esto primero. Comenta “EMPRESAS”,EMPRESAS,3,0,0,0,139,301,0.0,2.2,No,https://www.instagram.com/p/DdBRRxdkTS8/
24,2026-09-09,REELS,Pagas Netflix todos los meses… pero ¿pagarías su acción al precio de hoy? Coment,CLASE,3,4,5,0,103,143,48.5,11.7,No,https://www.instagram.com/p/DdFT32-PHh7/
25,2026-09-10,CAROUSEL,"Depósito a plazo, UF, bienes raíces, franquicias… la acción les gana. Comenta “A",ACCIONES,0,0,0,0,113,247,0.0,0.0,No,https://www.instagram.com/p/DdHk5XMj8PK/
26,2026-09-11,REELS,"Mi primera inversión la perdí. Compré por moda, no por análisis. Escríbeme EMPIE",EMPIEZO,3,0,0,0,373,444,0.0,0.8,No,https://www.instagram.com/p/DdKQFaUTrr0/
27,2026-09-12,CAROUSEL,Los ETF están bien… pero esto es mejor. Comenta “ACCIONES”,ACCIONES,0,0,0,0,114,242,0.0,0.0,No,https://www.instagram.com/p/DdMZcT6kbSU/
28,2026-09-13,REELS,Una acción barata no siempre es una oferta. A veces es una trampa. Comenta VALOR,VALOR,0,1,0,0,115,139,0.0,0.9,No,https://www.instagram.com/p/DdOqiN0Rxrd/
29,2026-09-14,REELS,Vendí Meta a US$90. Hoy vale más de US$650. La vendí en pánico porque no entendí,VALUE,1,0,0,2,122,158,0.0,2.5,No,https://www.instagram.com/p/DdRqPjIRKGp/
30,2026-09-16,REELS,"¿La acción de Coca-Cola está cara o barata? 3 preguntas: caja, crecimiento y pre",VALOR,1,0,0,0,148,183,0.0,0.7,No,https://www.instagram.com/p/DdXaNHFgNOt/
31,2026-09-21,REELS,Apple lanzó su primer iPhone plegable a US$2.000… pero ¿la acción está cara o ba,CLASE,0,1,0,0,75,118,0.0,1.3,No,https://www.instagram.com/p/DdkLSbJznPB/
